品牌,能源类型,车系,车型,标题,价格,上牌地,puid,clue_id,详情页url,page,dt
奥迪,纯电,奥迪e-tron , 55 quattro 专享型,奥迪e-tron 2019款 55 quattro 专享型,34.95万,3016381325,122748510,https://www.guazi.com/Detail?clueId=122748510,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,11.98万,3016366360,122718607,https://www.guazi.com/Detail?clueId=122718607,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,11.64万,3016365268,122717453,https://www.guazi.com/Detail?clueId=122717453,1,2023/01/05
奥迪,纯电,奥迪e-tron , 50 quattro 尊享型,奥迪e-tron 2021款 50 quattro 尊享型,36.18万,3016348372,122630353,https://www.guazi.com/Detail?clueId=122630353,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,12.58万,3016344357,122605870,https://www.guazi.com/Detail?clueId=122605870,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智酷型,奥迪Q2L e-tron 2019款 e-tron 纯电智酷型,13.29万,3016324292,122518001,https://www.guazi.com/Detail?clueId=122518001,1,2023/01/05
奥迪,纯电,奥迪Q5 e-tron , 40 e-tron 星耀型 锦衣套装,奥迪Q5 e-tron 2022款 40 e-tron 星耀型 锦衣套装,30.58万,3016323339,122509806,https://www.guazi.com/Detail?clueId=122509806,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智酷型,奥迪Q2L e-tron 2019款 e-tron 纯电智酷型,12.98万,3016321101,122494476,https://www.guazi.com/Detail?clueId=122494476,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,13.18万,3016314699,122481807,https://www.guazi.com/Detail?clueId=122481807,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,12.35万,3016311233,122454690,https://www.guazi.com/Detail?clueId=122454690,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,12.68万,3016291127,122385902,https://www.guazi.com/Detail?clueId=122385902,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智酷型,奥迪Q2L e-tron 2019款 e-tron 纯电智酷型,12.66万,3016269935,122247592,https://www.guazi.com/Detail?clueId=122247592,1,2023/01/05
奥迪,纯电,奥迪e-tron , 55 quattro 时尚型,奥迪e-tron 2019款 55 quattro 时尚型,29.20万,3016245934,122188661,https://www.guazi.com/Detail?clueId=122188661,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,13.22万,3016238174,122130482,https://www.guazi.com/Detail?clueId=122130482,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , e-tron 纯电智享型,奥迪Q2L e-tron 2019款 e-tron 纯电智享型,13.60万,3016236766,122146227,https://www.guazi.com/Detail?clueId=122146227,1,2023/01/05
奥迪,纯电,奥迪Q2L e-tron , Q2L e-tron 纯电智享型,奥迪Q2L e-tron 2022款 Q2L e-tron 纯电智享型,16.94万,3016223516,122093266,https://www.guazi.com/Detail?clueId=122093266,1,2023/01/05
